#   H  PAMELA(2009/12-2010/01) - Ref: Adriani et al., ApJ 765, 91 (2013)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.669200e+00 4.920000e-02 5.080000e-02 2.006084e+03 2.786228e+01 2.786228e+01 2.786228e+02 2.786228e+02 2.800124e+02 2.800124e+02
1.774100e+00 5.410000e-02 5.590000e-02 2.124516e+03 3.147431e+01 3.147431e+01 2.958585e+02 2.958585e+02 2.975280e+02 2.975280e+02
1.889000e+00 5.900000e-02 6.100000e-02 2.158834e+03 3.211489e+01 3.211489e+01 2.997390e+02 2.997390e+02 3.014545e+02 3.014545e+02
2.009100e+00 5.910000e-02 6.090000e-02 2.207956e+03 3.229186e+01 3.229186e+01 3.067727e+02 3.067727e+02 3.084676e+02 3.084676e+02
2.134000e+00 6.400000e-02 6.600000e-02 2.272424e+03 3.643165e+01 3.643165e+01 3.142230e+02 3.142230e+02 3.163279e+02 3.163279e+02
2.264000e+00 6.400000e-02 6.600000e-02 2.306563e+03 3.587987e+01 3.587987e+01 3.177931e+02 3.177931e+02 3.198122e+02 3.198122e+02
2.403800e+00 7.380000e-02 7.620000e-02 2.374863e+03 3.466953e+01 3.466953e+01 3.293605e+02 3.293605e+02 3.311802e+02 3.311802e+02
2.549000e+00 6.900000e-02 7.100000e-02 2.533986e+03 3.898441e+01 3.898441e+01 3.508597e+02 3.508597e+02 3.530189e+02 3.530189e+02
2.698800e+00 7.880000e-02 8.120000e-02 2.432696e+03 3.641761e+01 3.641761e+01 3.350420e+02 3.350420e+02 3.370154e+02 3.370154e+02
2.858800e+00 7.880000e-02 8.120000e-02 2.476339e+03 4.086369e+01 4.086369e+01 3.432550e+02 3.432550e+02 3.456788e+02 3.456788e+02
3.028600e+00 8.860000e-02 9.140000e-02 2.531587e+03 4.586209e+01 4.586209e+01 3.485519e+02 3.485519e+02 3.515562e+02 3.515562e+02
3.208700e+00 8.870000e-02 9.130000e-02 2.584235e+03 4.118302e+01 4.118302e+01 3.500557e+02 3.500557e+02 3.524699e+02 3.524699e+02
3.393600e+00 9.360000e-02 9.640000e-02 2.568184e+03 4.606608e+01 4.606608e+01 3.570121e+02 3.570121e+02 3.599718e+02 3.599718e+02
3.588600e+00 9.860000e-02 1.014000e-01 2.627122e+03 5.151220e+01 5.151220e+01 3.605854e+02 3.605854e+02 3.642463e+02 3.642463e+02
3.899000e+00 2.090000e-01 2.210000e-01 2.614778e+03 3.040440e+01 3.040440e+01 3.496506e+02 3.496506e+02 3.509700e+02 3.509700e+02
4.348600e+00 2.286000e-01 2.414000e-01 2.666355e+03 3.782064e+01 3.782064e+01 3.592961e+02 3.592961e+02 3.612812e+02 3.612812e+02
