#   H  PAMELA(2006/07-2008/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
6.640000e+00 6.300000e+00 6.990000e+00 5.448000e+01 2.001600e+00 2.001600e+00 0.000000e+00 0.000000e+00 2.001600e+00 2.001600e+00
7.360000e+00 6.990000e+00 7.740000e+00 4.333000e+01 2.001220e+00 2.001220e+00 0.000000e+00 0.000000e+00 2.001220e+00 2.001220e+00
8.150000e+00 7.740000e+00 8.570000e+00 3.440000e+01 1.001800e+00 1.001800e+00 0.000000e+00 0.000000e+00 1.001800e+00 1.001800e+00
9.010000e+00 8.570000e+00 9.480000e+00 2.728000e+01 1.001250e+00 1.001250e+00 0.000000e+00 0.000000e+00 1.001250e+00 1.001250e+00
9.970000e+00 9.480000e+00 1.048000e+01 2.162000e+01 8.009990e-01 8.009990e-01 0.000000e+00 0.000000e+00 8.009990e-01 8.009990e-01
1.101000e+01 1.048000e+01 1.157000e+01 1.700000e+01 6.007490e-01 6.007490e-01 0.000000e+00 0.000000e+00 6.007490e-01 6.007490e-01
1.216000e+01 1.157000e+01 1.277000e+01 1.335000e+01 5.008990e-01 5.008990e-01 0.000000e+00 0.000000e+00 5.008990e-01 5.008990e-01
1.341000e+01 1.277000e+01 1.409000e+01 1.051000e+01 4.005000e-01 4.005000e-01 0.000000e+00 0.000000e+00 4.005000e-01 4.005000e-01
1.479000e+01 1.409000e+01 1.554000e+01 8.280000e+00 3.006660e-01 3.006660e-01 0.000000e+00 0.000000e+00 3.006660e-01 3.006660e-01
1.631000e+01 1.554000e+01 1.712000e+01 6.470000e+00 3.006660e-01 3.006660e-01 0.000000e+00 0.000000e+00 3.006660e-01 3.006660e-01
1.796000e+01 1.712000e+01 1.886000e+01 5.010000e+00 2.002500e-01 2.002500e-01 0.000000e+00 0.000000e+00 2.002500e-01 2.002500e-01
1.978000e+01 1.886000e+01 2.076000e+01 3.900000e+00 2.002500e-01 2.002500e-01 0.000000e+00 0.000000e+00 2.002500e-01 2.002500e-01
