#   10Be/9Be  Balloon - several years
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.549510e-01 2.000000e-01 3.250000e-01 6.250000e-02 3.800000e-02 3.800000e-02 0.000000e+00 0.000000e+00 3.800000e-02 3.800000e-02
2.500000e-01 1.610000e-01 4.160000e-01 3.700000e-01 1.630000e-01 1.630000e-01 0.000000e+00 0.000000e+00 1.630000e-01 1.630000e-01
5.000000e-01 2.000000e-01 1.500000e+00 2.200000e-01 1.100000e-01 1.100000e-01 0.000000e+00 0.000000e+00 1.100000e-01 1.100000e-01
