#   He  AMS02(2011/05-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.614135e+01 2.518454e+01 2.713338e+01 1.083642e-01 2.401424e-04 2.401424e-04 1.520902e-03 1.520902e-03 1.539744e-03 1.539744e-03
2.816389e+01 2.713338e+01 2.923230e+01 8.896566e-02 2.201130e-04 2.201130e-04 1.240637e-03 1.240637e-03 1.260012e-03 1.260012e-03
3.033655e+01 2.923230e+01 3.148131e+01 7.287238e-02 1.800800e-04 1.800800e-04 1.020453e-03 1.020453e-03 1.036221e-03 1.036221e-03
3.268348e+01 3.148131e+01 3.393036e+01 5.970296e-02 1.600615e-04 1.600615e-04 8.403231e-04 8.403231e-04 8.554312e-04 8.554312e-04
3.520652e+01 3.393036e+01 3.652950e+01 4.913635e-02 1.400466e-04 1.400466e-04 6.802263e-04 6.802263e-04 6.944932e-04 6.944932e-04
3.790384e+01 3.652950e+01 3.932869e+01 4.031161e-02 1.200346e-04 1.200346e-04 5.601614e-04 5.601614e-04 5.728779e-04 5.728779e-04
4.080131e+01 3.932869e+01 4.232794e+01 3.308825e-02 1.000249e-04 1.000249e-04 4.601148e-04 4.601148e-04 4.708616e-04 4.708616e-04
4.392314e+01 4.232794e+01 4.557724e+01 2.714586e-02 1.000216e-04 1.000216e-04 3.800821e-04 3.800821e-04 3.930225e-04 3.930225e-04
4.729516e+01 4.557724e+01 4.907659e+01 2.226416e-02 8.001494e-05 8.001494e-05 3.200598e-04 3.200598e-04 3.299101e-04 3.299101e-04
5.103776e+01 4.907659e+01 5.307594e+01 1.813892e-02 6.801094e-05 6.801094e-05 2.580415e-04 2.580415e-04 2.668537e-04 2.668537e-04
5.503966e+01 5.307594e+01 5.707539e+01 1.465803e-02 6.000832e-05 6.000832e-05 2.100291e-04 2.100291e-04 2.184336e-04 2.184336e-04
5.928262e+01 5.707539e+01 6.157485e+01 1.195543e-02 5.200623e-05 5.200623e-05 1.720206e-04 1.720206e-04 1.797101e-04 1.797101e-04
6.402609e+01 6.157485e+01 6.657434e+01 9.811010e-03 4.400453e-05 4.400453e-05 1.440148e-04 1.440148e-04 1.505877e-04 1.505877e-04
6.951006e+01 6.657434e+01 7.257381e+01 7.796683e-03 3.600315e-05 3.600315e-05 1.160102e-04 1.160102e-04 1.214685e-04 1.214685e-04
7.575457e+01 7.257381e+01 7.907333e+01 6.208458e-03 3.000222e-05 3.000222e-05 9.400695e-05 9.400695e-05 9.867847e-05 9.867847e-05
8.273909e+01 7.907333e+01 8.657287e+01 4.866302e-03 2.600161e-05 2.600161e-05 7.400460e-05 7.400460e-05 7.843956e-05 7.843956e-05
9.072414e+01 8.657287e+01 9.507243e+01 3.776195e-03 2.000103e-05 2.000103e-05 6.000310e-05 6.000310e-05 6.324882e-05 6.324882e-05
9.970971e+01 9.507243e+01 1.045720e+02 2.962127e-03 1.800077e-05 1.800077e-05 4.800206e-05 4.800206e-05 5.126622e-05 5.126622e-05
1.099353e+02 1.045720e+02 1.155716e+02 2.242079e-03 1.400050e-05 1.400050e-05 3.800134e-05 3.800134e-05 4.049834e-05 4.049834e-05
1.218994e+02 1.155716e+02 1.285713e+02 1.724250e-03 1.120032e-05 1.120032e-05 2.980086e-05 2.980086e-05 3.183612e-05 3.183612e-05
1.363381e+02 1.285713e+02 1.445709e+02 1.262429e-03 8.600198e-06 8.600198e-06 2.260052e-05 2.260052e-05 2.418154e-05 2.418154e-05
1.540142e+02 1.445709e+02 1.640705e+02 9.228167e-04 6.600119e-06 6.600119e-06 1.740031e-05 1.740031e-05 1.861001e-05 1.861001e-05
1.758964e+02 1.640705e+02 1.885702e+02 6.398089e-04 4.800067e-06 4.800067e-06 1.300018e-05 1.300018e-05 1.385804e-05 1.385804e-05
2.034830e+02 1.885702e+02 2.195699e+02 4.316045e-04 3.600037e-06 3.600037e-06 9.400097e-06 9.400097e-06 1.006589e-05 1.006589e-05
2.396547e+02 2.195699e+02 2.615696e+02 2.794021e-04 2.400018e-06 2.400018e-06 6.600049e-06 6.600049e-06 7.022872e-06 7.022872e-06
2.895754e+02 2.615696e+02 3.205693e+02 1.747609e-04 1.620008e-06 1.620008e-06 4.580024e-06 4.580024e-06 4.858091e-06 4.858091e-06
3.625746e+02 3.205693e+02 4.100690e+02 9.364031e-05 9.600031e-07 9.600031e-07 2.840009e-06 2.840009e-06 2.997875e-06 2.997875e-06
4.809553e+02 4.100690e+02 5.640687e+02 4.576009e-05 5.000009e-07 5.000009e-07 1.700003e-06 1.700003e-06 1.772008e-06 1.772008e-06
7.121585e+02 5.640687e+02 8.990684e+02 1.596001e-05 2.000002e-07 2.000002e-07 7.960007e-07 7.960007e-07 8.207419e-07 8.207419e-07
1.160963e+03 8.990684e+02 1.499068e+03 4.294001e-06 7.600002e-08 7.600002e-08 3.180001e-07 3.180001e-07 3.269558e-07 3.269558e-07
