0000	10.	20.	40.	60.	80.	100.	150.	200.	300.	400.	600.	1000.	2000.	5000.	9000.
0101	61.	61.	56.	50.	44.	38.	35.	31.	31.	35.	42.	44.	42.	40.	40.
0402	50.	50.	50.	50.	50.	48.	46.	45.	44.	45.	50.	60.	60.	59.	59.
0704	167.	167.	167.	167.	167.	167.	153.	151.	157.	163.	171.	174.	175.	176.	176.
0904	197.	197.	197.	197.	197.	197.	181.	179.	185.	192.	202.	206.	207.	208.	208.
1004	211.	211.	211.	211.	211.	211.	194.	192.	198.	206.	216.	221.	222.	223.	223.
1005	211.	211.	211.	211.	211.	211.	194.	192.	198.	206.	216.	221.	222.	223.	223.
1105	225.	225.	225.	225.	225.	225.	207.	204.	211.	220.	231.	237.	238.	238.	238.
1206	239.	239.	239.	239.	239.	239.	219.	217.	224.	233.	245.	251.	252.	252.	252.
1306	0	0	0	253.	253.	253.	232.	229.	237.	247.	259.	264.	266.	267.	267.
1407	266.	266.	266.	266.	266.	266.	244.	241.	250.	260.	272.	280.	281.	281.	281.
1507	279.	279.	279.	279.	279.	279.	256.	253.	262.	273.	286.	294.	295.	295.	295.
1608	293.	293.	293.	293.	293.	293.	269.	265.	274.	286.	300.	308.	309.	309.	309.
1708	0	0	0	0	0	306.	281.	277.	287.	298.	313.	319.	321.	323.	323.
1808	0	0	0	0	0	319.	292.	289.	299.	311.	326.	332.	335.	336.	336.
1909	0	0	0	0	0	332.	304.	300.	311.	324.	339.	348.	350.	350.	350.
2010	344.	344.	344.	344.	344.	344.	316.	312.	323.	336.	352.	362.	363.	363.	363.
2110	0	0	0	0	0	357.	327.	323.	335.	348.	365.	372.	375.	377.	377.
2210	369.	369.	369.	369.	369.	369.	339.	335.	346.	361.	378.	388.	390.	390.	390.
2311	382.	382.	382.	382.	382.	382.	350.	346.	358.	373.	391.	401.	403.	403.	403.
2412	394.	394.	394.	394.	394.	394.	361.	357.	369.	385.	403.	414.	416.	416.	416.
2512	0	0	0	0	0	406.	373.	368.	381.	396.	416.	427.	428.	428.	428.
2612	418.	418.	418.	418.	418.	418.	384.	379.	392.	408.	428.	439.	441.	441.	441.
2613	418.	418.	418.	418.	418.	418.	384.	379.	392.	408.	428.	436.	439.	441.	441.
2713	430.	430.	430.	430.	430.	430.	394.	389.	403.	420.	440.	452.	454.	454.	454.
2814	442.	442.	442.	442.	442.	442.	405.	400.	414.	431.	452.	464.	466.	466.	466.
2914	0	0	0	0	0	453.	416.	411.	425.	442.	464.	476.	478.	478.	478.
3014	0	0	0	0	0	465.	426.	421.	436.	454.	476.	488.	490.	490.	490.
3115	0	0	0	0	0	476.	437.	431.	446.	465.	487.	500.	502.	502.	502.
3216	0	0	0	0	0	487.	447.	441.	457.	476.	499.	512.	514.	514.	514.
3316	0	0	0	0	0	498.	457.	452.	467.	486.	510.	524.	526.	526.	526.
3416	0	0	0	0	0	509.	467.	461.	478.	497.	521.	535.	537.	537.	537.
3616	0	0	0	0	0	531.	487.	481.	498.	518.	543.	554.	558.	560.	560.
3517	0	0	0	0	0	520.	477.	471.	488.	508.	532.	547.	549.	549.	549.
3617	0	0	0	0	0	531.	487.	481.	498.	518.	543.	554.	558.	560.	560.
3717	0	0	0	0	0	542.	497.	491.	508.	529.	554.	565.	569.	571.	571.
3618	0	0	0	0	0	531.	487.	481.	498.	518.	543.	558.	560.	560.	560.
3718	0	0	0	0	0	2122	1137	831.	646.	598.	584.	577.	573.	572.	571.
3818	0	0	0	0	0	552.	506.	500.	518.	539.	565.	580.	582.	582.	582.
4018	0	0	0	0	0	573.	525.	519.	537.	559.	586.	597.	602.	604.	604.
3919	0	0	0	0	0	562.	516.	509.	527.	549.	576.	591.	593.	593.	593.
4019	0	0	0	0	0	573.	525.	519.	537.	559.	586.	597.	602.	604.	604.
4119	0	0	0	0	0	583.	535.	528.	547.	569.	597.	608.	612.	615.	615.
4020	0	0	0	0	0	573.	525.	519.	537.	559.	586.	602.	604.	604.	604.
4120	0	0	0	0	0	583.	535.	528.	547.	569.	597.	608.	612.	615.	615.
4220	0	0	0	0	0	593.	544.	537.	556.	579.	607.	618.	623.	626.	626.
4320	0	0	0	0	0	603.	553.	546.	565.	588.	617.	633.	636.	636.	636.
4420	0	0	0	0	0	613.	562.	555.	574.	598.	627.	639.	644.	646.	646.
4521	0	0	0	0	0	622.	571.	564.	584.	607.	637.	654.	657.	657.	657.
4422	0	0	0	0	0	613.	562.	555.	574.	598.	627.	639.	644.	646.	646.
4622	0	0	0	0	0	632.	580.	573.	593.	617.	647.	659.	664.	667.	667.
4722	0	0	0	0	0	642.	589.	581.	602.	626.	657.	669.	674.	677.	677.
4822	0	0	0	0	0	651.	597.	590.	610.	635.	666.	684.	687.	687.	687.
4922	0	0	0	0	0	660.	606.	598.	619.	645.	676.	689.	694.	697.	697.
5022	0	0	0	0	0	670.	614.	607.	628.	654.	685.	699.	704.	707.	707.
4923	0	0	0	0	0	5470	2588	1650	1048	870.	770.	730.	708.	697.	697.
5023	0	0	0	0	0	670.	614.	607.	628.	654.	685.	699.	704.	707.	707.
5123	0	0	0	0	0	679.	623.	615.	637.	663.	695.	708.	713.	716.	716.
4824	0	0	0	0	0	651.	597.	590.	610.	635.	666.	679.	684.	687.	687.
5024	0	0	0	0	0	670.	614.	607.	628.	654.	685.	699.	704.	707.	707.
5124	0	0	0	0	0	6516	3028	1891	1157	946.	808.	755.	726.	716.	716.
5224	0	0	0	0	0	688.	631.	623.	645.	671.	704.	723.	726.	726.	726.
5324	0	0	0	0	0	697.	639.	631.	654.	680.	713.	727.	732.	735.	735.
5424	0	0	0	0	0	706.	648.	639.	662.	689.	722.	736.	742.	745.	745.
5325	0	0	0	0	0	697.	639.	631.	654.	680.	713.	732.	735.	735.	735.
5425	0	0	0	0	0	7886	3606	2210	1302	1025	865.	788.	758.	745.	745.
5525	0	0	0	0	0	715.	656.	647.	670.	698.	732.	751.	754.	754.	754.
5426	0	0	0	0	0	706.	648.	639.	662.	689.	722.	742.	745.	745.	745.
5526	0	0	0	0	0	9000	4070	2460	1408	1086	892.	806.	770.	754.	754.
5626	723.	723.	723.	723.	723.	723.	664.	655.	678.	706.	741.	760.	763.	763.	763.
5726	0	0	0	0	0	732.	672.	663.	687.	715.	749.	764.	769.	773.	773.
5826	0	0	0	0	0	741.	680.	671.	695.	723.	758.	773.	778.	782.	782.
5727	0	0	0	0	0	9732	5050	2985	1634	1210	954.	840.	793.	773.	773.
5927	0	0	0	0	0	749.	688.	679.	703.	731.	767.	782.	787.	791.	791.
5628	0	0	0	0	0	723.	664.	655.	678.	706.	741.	755.	760.	763.	763.
5828	0	0	0	0	0	741.	680.	671.	695.	723.	758.	773.	778.	782.	782.
5928	0	0	0	0	0	749.	688.	679.	703.	731.	767.	782.	787.	791.	791.
6028	0	0	0	0	0	758.	695.	687.	711.	740.	776.	791.	796.	800.	800.
6228	0	0	0	0	0	775.	711.	702.	727.	756.	793.	808.	814.	817.	818.
