A   	 Z  	  T1/2 T1/2(naked nucleus) (seconds)  	  Dec Mode	  Element	
53  	 25 	  1.18E14 1.18E14                 EC      		  Mn     	
54  	 25 	  2.69817e+07 1.98813e+13         ECB-      		  Mn     	
55  	 25 	  -1	-1	STABLE                 	          	  Mn     	
54  	 26 	  -1	-1	STABLE                 	          	  Fe     	
55  	 26 	  8.61522e+7 8.61522e+7         EC      		  Fe     	
56  	 26 	  -1	-1	STABLE                 	          	  Fe     	
57  	 26 	  -1	-1	STABLE                 	          	  Fe     	
58  	 26 	  -1	-1	STABLE                 	          	  Fe     	
59  	 26 	  3844368 3844368                 B-      		  Fe     	
60  	 26 	  4.734E13 4.734E13               B-      		  Fe     	
56  	 27 	  6672931.2 6672931.2             EC      		  Co     	
57  	 27 	  2.348E7 2.348E7                 EC      		  Co     	
58  	 27 	  6122304 6122304                 EC      		  Co     	
59  	 27 	  -1	-1	STABLE                 	          	  Co     	
60  	 27 	  1.663E8 1.663E8                 B-      		  Co     	
56  	 28 	  3.15576e+06 1.2623e+12          ECB+      		  Ni     	
57  	 28 	  128160 128160                   EC    	  	  Ni     	
58  	 28 	  -1	-1	STABLE                 	          	  Ni     	
59  	 28 	  2.398E12 2.398E12               EC      		  Ni     	
60  	 28 	  -1	-1	STABLE                 	          	  Ni     	
61  	 28 	  -1	-1	STABLE                 	          	  Ni     	
62  	 28 	  -1	-1	STABLE                 	          	  Ni     	
63  	 28 	  3.159E9 3.159E9                 B-  		    	  Ni     	
64  	 28 	  -1	-1	STABLE                 	          	  Ni     	
66  	 28 	  196560 196560                   B-      	  	  Ni     	
63  	 29 	  -1	-1	STABLE                 	          	  Cu     	
65  	 29 	  -1	-1	STABLE                 	          	  Cu     	
67  	 29 	  222588 222588                   B-      		  Cu     	
64  	 30 	  -1	-1	STABLE                 	          	  Zn     	
65  	 30 	  2.105E7 2.105E7                 EC		      	  Zn     	
66  	 30 	  -1	-1	STABLE                 	          	  Zn     	
67  	 30 	  -1	-1	STABLE                 	          	  Zn     	
68  	 30 	  -1	-1	STABLE                 	          	  Zn     	
